Name,Rating,Price
Things We Left Behind (Knockemout Book 3),15470,
Cruel Paradise (Oryolov Bratva Book 1),2184,$2.99
The Coworker: An Addictive Psychological Thriller,13989,$3.99
The Primal Hunter 7: A LitRPG Adventure,4,$7.99
Cruel Promise (Oryolov Bratva Book 2),2030,$7.99
Magical Midlife Battle (Leveling Up Book 8),149,$4.99
Mine To Promise: Small town secret baby romance.(Southern Wedding Book 6) (Southern Weddings),3064,$4.99
My Temptation (Kingston Lane Book 1),8666,$3.99
Fortune: A Novel,1910,$3.99
Unforgettable,285,$4.99
Best Frenemies,460,$5.99
Catch Her Death (Bree Taggert Book 7),2115,$6.99
The Starfish Sisters: A Novel,12916,$4.99
Woke Up Like This: A Novel,1847,$5.99
Don&#39;t Forget to Write: A Novel,14822,$4.99
Cross My Heart: A Spicy Dark Academia Romance (The Oxford Legacy Book 1),496,$5.99
Penelope in Retrograde: A Novel,2504,$3.99
Becoming Coachable: Unleashing the Power of Executive Coaching to Transform Your Leadership and Life,39,$0.99
The Summer I Saved You,843,$4.99
Broke Down Single Mom: A Military Reverse Harem Romance (Lucky Lady Reverse Harems),62,$2.99
Elon Musk,447,$16.99
Tempting the Player (Campus Wallflowers),120,$4.99
The House Beyond the Dunes,1070,$5.99
The Ever King: A Dark Fantasy Romance (The Ever Seas Book 1),150,$5.99
The Last Devil to Die: A Thursday Murder Club Mystery,108,$14.99
The Witch&#39;s Lens: A Novel (The Order of the Seven Stars Book 1),890,$4.99
Holly,4145,$14.99
Reckless Heart: A Best Friend&#39;s Brother Small Town Romance (Starlight Cove Book 4),569,$5.99
Counting the Cost,2044,$14.99
Homerun Proposal: A Brother&#39;s Best Friend Baseball Romance (Orleans University Book 1),1268,$4.99
Just Don&#39;t Fall: A Fake Dating Hockey RomCom (Sweater Weather Book 1),1436,$4.99
Heavy is the Crown (Backyard Starship Book 16),104,$5.99
"My Favorite Kidnapper: A forced proximity, grumpy sunshine romance",1094,$5.99
Fury: A Fake Dating Workplace Romance (Fury Brothers Book 1),1008,$3.99
The Stars Don&#39;t Lie: A Novel,2448,$4.99
From Grassroots to Greatness: 13 Rules to Build Iconic Brands with Community Led Growth,56,$0.99
Code Red: A Mitch Rapp Novel by Kyle Mills,984,$14.99
Iron Flame (The Empyrean Book 2),,
Just Stay Away,2572,$3.99
When&#39;s Mummy Coming?: A completely gripping and unforgettable story about the Kindertransport during WW2 (Hearts at War Book 1),3787,$0.99
The Cursed (Coven of Bones Book 2),1699,$4.99
"Running with Grace: A Wall Street Insider’s Path to True Leadership, a Purposeful Life, and Joy in the Face of Adversity",12,$0.99
Last Chance (Emma Last FBI Mystery Series Book 4),35,$4.99
Wicked Prince (New Orleans Malones Book 3),6,$4.99
These Still Black Waters (Jess Lambert Book 1),1620,$3.99
"A Little Twist: A small-town, single dad-nanny, fake engagement romance.",374,$4.99
Eternal Reign (Age of Vampires Book 1),33,$6.99
Corrupting Cali: Declan’s Story (Syndicate Daddies Book 1),106,$5.99
God of Ruin: A Dark College Romance (Legacy of Gods Book 4),5254,$5.99
I Wish I Would&#39;ve Told You,939,$3.99
The Burning Witch: A Humorous Romantic Fantasy,30,$5.99
Break My Rules: A Spicy Dark Academia Romance (The Oxford Legacy Book 2),342,$5.99
Warriorborn: A Cinder Spires Novella (The Cinder Spires),91,$4.99
Knight&#39;s Bright Eyes (Pagan Souls of Cherokee MC Book 3),43,$4.99
A Storm of Infinite Beauty: A Novel,348,$4.99
Malibu Burning (Sharpe &amp; Walker Book 1),8539,$4.99
Court of Serpents and Secrets: A Brides of Mist and Fae Novel (The Shadow Bound Queen Book 4),2123,$4.99
Deadlands: A Novel,729,$3.99
"Off the Grid: An Enemies to Lovers, Workplace Romance (Full Throttle Series Book 1)",280,$4.99
The Democrat Party Hates America,33,$14.99
The Brood (Calamity Montana),2163,$5.99
Can&#39;t Help Falling: A Best Friend&#39;s Brother RomCom,374,$4.99
Stolen Hearts: A Dark Best Friend&#39;s Older Brother Mafia Romance,314,$4.99
The Fall Back Plan: An Enemies to Lovers RomCom,646,$4.99
The Wolf Prince: An Opposites Attract Shifter Romance (The Royals Of Presley Acres Book 1),217,$4.99
Payback in Death: An Eve Dallas Novel,6653,$14.99
Body Check (Seattle Serpents),986,$4.99
A Night at the Tropicana: A Short Story,1017,$1.99
"Fear Me, Love Me: A Mafia Age Gap Romance",516,$4.99
Seal My Fate: A Spicy Dark Academia Romance (The Oxford Legacy Book 3),175,$5.99
Ruthless Knight: An Arranged Marriage Romance (Ruthless Billionaires Book 1),420,$4.99
Brotherhood of the Goat (Alex Mason Book 10),11,$4.99
"End Game : A curvy heroine, brother&#39;s best friend, hockey romance (New York Stars Book 1)",694,$5.99
Aspen&#39;s Defense: A Curvy Girl Hockey Romance,52,$2.99
Salthouse Place: A Novel,4118,$4.99
The Taken Ones: A Novel (Steinbeck and Reed Book 1),35,$4.99
Scapegoat (Scapegoats and Misfits Book 1),556,$3.99
Hard Knock Hero (Last Refuge Protectors Book 1),143,$0.99
The Fall of Bradley Reed: A Grumpy Sunshine Revenge Romance (Season of Revenge Series Book 3),1195,$3.99
Starter Villain,52,$14.99
Astor: The Rise and Fall of an American Fortune,5,$16.99
"Dr. CEO: A standalone, enemies to lovers, billionaire in a small town romance (The Doctors Series Book 3)",1286,$4.99
The Doctor&#39;s Widow: A completely unputdownable and addictive psychological thriller with a jaw-dropping twist (The Doctor&#39;s Wife Book 2),1581,$3.99
The Tease: A Single Dad/Forbidden Romance Standalone (The Virgin Society Book 3),1508,$4.99
Husband Skills,624,$2.99
Wellness: A novel,4,$14.99
The River We Remember: A Novel,1189,$14.99
Lucky&#39;s Streak (Devil&#39;s Riot MC Tennessee Book 3),11,$4.99
Magic&#39;s Mantle (Ard&#39;s Oath Book 1),967,$4.99
Shadow&#39;s Mystery (Shadow Island FBI Mystery Series Book 9),669,$5.99
The Exchange: After The Firm (The Firm Series Book 2),,$14.99
Free Me (WITSEC Book 4),4180,$4.99
Glitter (The Golden Wolf Book 2),1692,$4.99
Found: Silver Falls University 5,101,$4.99
Love You Never: An Enemies-to-Lovers Forced Proximity New Adult Sports Romance (Western Wildcats Hockey Book 2),202,$4.99
"Whip It Up: The Donovans, Book 6",325,$3.99
23 1/2 Lies,244,
Shattered Truths,1812,$4.99
"Here With Me: An Ex-boyfriend&#39;s Dad, Age Gap Small Town Romance (Sugarland Creek Book 1)",931,$4.99
The Path of Ascension 4: A LitRPG Adventure,629,$6.99
